key	text	tooltip
#Loc PackedFile;1;text/db/ovn_araby_only_unit_description_historical_texts.loc		
unit_description_historical_texts_text_ovn_unit_long_text_arb_art_ballista	Also known as ballista or bolt throwers, they are a missile weapon that launches large arrow-like projectiles at distant targets.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_art_grand_bombard	The Grand Bombard is made for one purpose only, the utter destruction of enemy defences.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_art_grand_bombard_ror	Made in an age long ago, this monstrous cannon is maintained by unnatural powers and is said to send its crew insane. This, coupled with the peoples' hatred of gunpowder, has seen it hidden and disused for centuries.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_art_trebuchet	An effective siege engine capable of lobbing large wall... or creature crushing boulders.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_cav_arabyan_knights	The finest knights of Araby, armed with an ornate arsenal they ride the finest steeds descended from Elven stock apparently.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_cav_arabyan_knights_ror	A famous mercenary band that hails from the arid-deserts of great Araby.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_cav_archer_camel	One major advantage the camel provides for these mounted archers is simply a better angle for their arrows to aim true than from their horse counterparts. Albeit, mounted archery on a camel is no easy task! 	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_cav_bedouin_scouts	It's said these spear-armed cavalrymen were born in the saddle making them a useful harassing force against infantry and cavalry alike. 	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_cav_scorpion	The largest and fiercest scorpions in all the world, they require a rider who wears magical robes of protection that can cut through the sand.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_cav_sipahis	Very heavily armoured and equipped with fine armaments, they are somewhat outdated and slow but are still formidable troops. 	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_cav_sipahis_ror	Armoured like turtles, brave as lions, with swords like wasp stings…	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_cav_tuareg_riders	These nomadic horse archers can pepper an enemy before moving in for close-combat.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_champion	The Askar are warriors without equal, who are promoted for their worth, serving as bodyguards for most important leaders of Araby.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_elephant	These fearsome beasts can trample men and horse alike into the dust. 	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_fatandira	Returning to her native people after being ousted from the Border Princes, Prince Fatandira is equal parts a military commander and an enlightened ruler.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_flying_carpet	The sorcerers of Araby have perfected the art of binding aerial spirits into physical forms - not least of which is the famous Flying Carpets.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_flying_carpet_ror	The naffatun of Saghash are renown for their chemical insight. Whether shot on the tips of arrows, or thrown in clay pots, there is no escaping the wet fire. 	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_golden_magus	The self-styled "Sultan of the Seas", the eccentric Golden Magus hides incredible sorcerous powers beneath his gaudy appearance.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_alrahem_nomads	Lords of the Dune, many foes fall to furtive arrows before the rangers melt back into the sand.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_arabyan_bowmen	Arabyans place great faith in the bow, and every Arabyan city maintains strong bodies of archers.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_arabyan_guard	Guards are well-equipped with steel armour, keen tulwars and fine silk clothing. The loyalty of these troops is famous and they are amply rewarded with riches, luxuries, and prestige as a result.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_arabyan_ogres	The brutish ogres are a powerful ally to have on the battlefield, that is until they flee at the first sign of trouble.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_arabyan_spearmen	These humble infantrymen form the solid foundation of any Arabyan army.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_arabyan_spearmen_summon	All is not what it seems...	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_arabyan_warriors	These soldiers are often individuals brought up and trained as warriors or guards.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_corsairs	The scourge of the Great Ocean, who plunder the shores of Tilea and Estalia with wanton abandon. 	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_dervishers	Dervishers are fanatical, religious warriors all too willing to die for their god.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_jaguar_champions	Jaguar Champions are fearsome nomads, who through great skill and courage are allowed to wear uniforms made from jaguar skins.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_jaguar_champions_ror	They follow the teachings of the talented and fanatical Wizard Mullah Aklan'd, honouring his name and hope to die gloriously so they can pass into the highest of the seven heavens St'oec.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_jezzails	Armed with long-barrelled arquebus of Arabyan design, the endless deserts have taught these men the value of marksmanship and an accurate firearm. 	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_jezzails_ror	The Malaluk nomads inhabiting the lands around cursed Bel-Aliad. are highly territorial and aggressive, famous for their sharpshooting and their strange maces  knowing as"Pineapple Maces" or "Malaluk Sticks".	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_pit_fighters	Pit-Fighters were usually slaves, criminals or prisoners of war but freemen also enlisted in search of gold and glory. Superbly-trained heavy infantry with little fear of death.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_sharkas_slaves	Made into slaves as boys, and trained for war until manhood, these soldiers make formidable opponents, though their loyalty is questionable.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_southland_warriors	Hailing from the fetid jungles of the far south, these warriors are well acquainted with all manner of beast and monster. 	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_jezzail_camel	Some Arabyans are so adept at camel riding that they kick their training up a notch and carry jezzailsto battle. Now, that's a sight to remember - if you're not on the other side of their dreadful aim. 	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_lancer_camel	Trained from birth to ride these sturdy beasts, most camel riders can be traced to beduin origin. They know how to tame it, and best of all, they know how to bond with it. 	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_magician_desert	The Sorcerers of the desert have their own magical tradition and can manipulate many of the Winds of Magic.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_magician_fire	Some Arabyan Sorcerers have mastered a technique to control Fire Efreets, and have learned to control the Wind of Aqshy along the way.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_magician_heavens	Tempest Djinns and the Wind of Azyr are the powerful allies of these Arabyan Sorcerers.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_magician_life	The Sorcerers of Araby who dwell near the sea are adept at manipulating the Wind of Ghyran and taming Sea Nymphs.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_mon_desert_spirit	Sand Djinns that live in the deserts of Araby are a force to reckoned with.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_mon_desert_spirit_ror	Inhabiting the western desert, Khar-mel knows many secrets forgotten by mortal man and many sorcerers and priests have tried to summon it to answer their questions.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_mon_fire_efreet	Fire Djinns thrive under the hot sun of Araby and are powerful allies... and enemies.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_mon_fire_efreet_ror	Roaring like a wild cataclysm, the Sultan of Flames rises with a fire hotter than the sun itself, being the most terrible and titanic Efreet that inhabits the world.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_mon_genie	The Genies of Araby have mastery over the four native elements: water, sand, fire, and air.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_mon_giant_scorpion	Overshadowed by their abominable undead cousins, they strike equal fear into their foes who meet claw and pincer.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_mon_giant_vulture_feral	These enormous birds inhabit the Atalan Mountains of Araby and are capable of lifting and carrying off a horse with its rider.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_mon_promethean_hatchlings	Reared from hatchlings these dangerous creatures would be impossible to control without the aid of magic.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_mon_sea_nymph	Water Djinns that dwell along the coasts of Araby are fearsome indeed.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_mon_sea_nymph_ror	The legendary Sea-Monarch is the most powerful of the Sea Nymphs, a power that makes any sailor and pirate tremble, as it is a true living tidal wave.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_mon_tempest_djinn	Air Djinns are native to the skies of Araby and are an excellent choice when it comes to enchanting furniture.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_mon_tempest_djinn_ror	The fearsome Raging Tempest is considered a god of the winds, a being whose power can cause hurricanes so terrible that any empire will tremble at its strength.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_cav_waghzen	Atop their great river horses, the Waghzen something something something	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_mon_war_elephant_ror_1	The Ravager Elephant is said to rival a Norscan mammoth in ferocity.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_mon_war_elephant_ror_2	These fearsome beasts have a small mounted cannon, a concept originating in the faraway lands of Ind.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_nomad	The Arabyan cities hide all kinds of dangers in their shadows. The assassins of this land are renowned for their skill, wiping out their targets in swift, stealthy attacks.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_nomad_assassin	The Arabyan cities hide all kinds of dangers in their shadows. The assassins of this land are renowned for their skill, wiping out their targets in swift, stealthy attacks.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_sheikh	The Sheikhs are wise and powerful warriors, they bring great honour to Araby and are rightly rewarded though some struggle with the excess this life brings.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_sultan_jaffar	Undoubtedly the cruellest ruler ever in Araby, Jaffar controlled the land for many years during the Crusades. Jaffar was a powerful sorcerer who in 1435 IC united Araby and ruled it as Sultan for fifteen years.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_vizier	In Araby, magic users are respected and invaluable councillors to Caliphs and Sultans, so naturally most end up in the illustrious position of Grand Vizier.	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_war_elephant	These fearsome beasts can trample men and horse alike into the dust. 	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_mon_enchanted_rope	Those Arabyan sorcerers are at it again, first it was carpets, and now ropes, when will this madness end?	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_art_naphtha_thrower	Naphtha thrower	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_art_naphtha_thrower_ror	Naphtha thrower ror	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_lancer_camel_ror	Lancer camel ror	true
unit_description_historical_texts_text_ovn_unit_short_text_arb_djinn_carriage	Djinn Carriage	true
unit_description_historical_texts_text_ovn_unit_long_text_arb_inf_arabyan_guard_ror	placeholder	true
